 -3.7523333e+001 -3.7523288e+001 -3.7523252e+001 -3.7523224e+001 -3.7523203e+001 -3.7523188e+001 -3.7523177e+001 -3.7523171e+001 -3.7523168e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001 -3.7523167e+001
 -3.4554808e+001 -3.4557953e+001 -3.4560604e+001 -3.4562807e+001 -3.4564606e+001 -3.4566047e+001 -3.4567175e+001 -3.4568034e+001 -3.4568670e+001 -3.4569128e+001 -3.4569452e+001 -3.4569683e+001 -3.4569836e+001 -3.4569922e+001 -3.4569951e+001 -3.4569935e+001 -3.4569884e+001 -3.4569809e+001 -3.4569720e+001 -3.4569627e+001 -3.4569543e+001
 -3.1582251e+001 -3.1607583e+001 -3.1628933e+001 -3.1646665e+001 -3.1661142e+001 -3.1672729e+001 -3.1681789e+001 -3.1688688e+001 -3.1693788e+001 -3.1697454e+001 -3.1700051e+001 -3.1701895e+001 -3.1703118e+001 -3.1703806e+001 -3.1704043e+001 -3.1703915e+001 -3.1703507e+001 -3.1702904e+001 -3.1702190e+001 -3.1701452e+001 -3.1700775e+001
 -2.8466189e+001 -2.8551717e+001 -2.8623797e+001 -2.8683660e+001 -2.8732534e+001 -2.8771650e+001 -2.8802236e+001 -2.8825522e+001 -2.8842738e+001 -2.8855112e+001 -2.8863875e+001 -2.8870099e+001 -2.8874228e+001 -2.8876549e+001 -2.8877350e+001 -2.8876918e+001 -2.8875540e+001 -2.8873504e+001 -2.8871097e+001 -2.8868606e+001 -2.8866319e+001
 -2.5067152e+001 -2.5269890e+001 -2.5440752e+001 -2.5582653e+001 -2.5698506e+001 -2.5791227e+001 -2.5863729e+001 -2.5918927e+001 -2.5959735e+001 -2.5989067e+001 -2.6009839e+001 -2.6024591e+001 -2.6034378e+001 -2.6039880e+001 -2.6041779e+001 -2.6040755e+001 -2.6037489e+001 -2.6032663e+001 -2.6026957e+001 -2.6021053e+001 -2.6015631e+001
 -2.1245667e+001 -2.1641640e+001 -2.1975356e+001 -2.2252506e+001 -2.2478783e+001 -2.2659878e+001 -2.2801483e+001 -2.2909291e+001 -2.2988995e+001 -2.3046285e+001 -2.3086854e+001 -2.3115668e+001 -2.3134783e+001 -2.3145529e+001 -2.3149237e+001 -2.3147237e+001 -2.3140859e+001 -2.3131432e+001 -2.3120288e+001 -2.3108756e+001 -2.3098167e+001
 -1.6900141e+001 -1.7574631e+001 -1.8144489e+001 -1.8619177e+001 -1.9008160e+001 -1.9320900e+001 -1.9566860e+001 -1.9755504e+001 -1.9896293e+001 -1.9998692e+001 -2.0072163e+001 -2.0124889e+001 -2.0159931e+001 -2.0179068e+001 -2.0184080e+001 -2.0176748e+001 -2.0158850e+001 -2.0132168e+001 -2.0098481e+001 -2.0059570e+001 -2.0017214e+001
 -1.2080504e+001 -1.3089033e+001 -1.3950323e+001 -1.4677010e+001 -1.5281729e+001 -1.5777117e+001 -1.6175808e+001 -1.6490439e+001 -1.6733644e+001 -1.6918060e+001 -1.7056322e+001 -1.7158878e+001 -1.7227416e+001 -1.7261441e+001 -1.7260453e+001 -1.7223955e+001 -1.7151449e+001 -1.7042436e+001 -1.6896419e+001 -1.6712900e+001 -1.6491385e+001
 -6.8745627e+000 -8.2331432e+000 -9.4163550e+000 -1.0437443e+001 -1.1309654e+001 -1.2046231e+001 -1.2660422e+001 -1.3165470e+001 -1.3574622e+001 -1.3901122e+001 -1.4158217e+001 -1.4355518e+001 -1.4488107e+001 -1.4547435e+001 -1.4524949e+001 -1.4412099e+001 -1.4200334e+001 -1.3881103e+001 -1.3445856e+001 -1.2886040e+001 -1.2193122e+001
 -1.3701253e+000 -3.0552597e+000 -4.5660813e+000 -5.9119179e+000 -7.1020974e+000 -8.1459475e+000 -9.0527961e+000 -9.8319709e+000 -1.0492800e+001 -1.1044610e+001 -1.1496731e+001 -1.1852696e+001 -1.2092874e+001 -1.2191837e+001 -1.2124161e+001 -1.1864419e+001 -1.1387187e+001 -1.0667038e+001 -9.6785462e+000 -8.3962866e+000 -6.7948687e+000
